,Director(s),Star(s),Votes,Gross,Language(s),Country_of_origin,Production_companies,Poster_image,Release_date,Title,Imdb_rating,Duration,Genre,Summary,MPA_rating
1425, Michelangelo Frammartino ,"[' Claudia Candusso', ' Paolo Cossi', ' Mila Costi', ' Carlos José Crespo']", 284,,['Italian'],"['Italy', 'France', 'Germany']","['Doppio Nodo Double Bind', 'Rai Cinema', 'Société Parisienne de Production']",https://m.media-amazon.com/images/M/MV5BODViMjFkMjYtMjljNC00MWM3LWI2YzUtOTRhZmQxNzYzNmIwXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_.jpg,2021-09-23,The Hole,['6.4'],['93 min'],['Drama'],"['The extraordinary adventure of the young members of the Piedmont Speleological Group who, having already explored all the caves of Northern Italy, changed course in August 1961 and went South to explore other caves unknown to man.']",
1426, David Nordquist ,"[' David Nordquist', ' Dave Quirk', ' Wendy Tuck', ' Ken Nordquist']", 117,,['English'],['Canada'],['MiniWarGaming'],https://m.media-amazon.com/images/M/MV5BNWM2NDVhOGUtNGQ5MC00Y2E1LWIyOTMtMGExZmQ3MzQwNGVmXkEyXkFqcGdeQXVyNzk5ODY5Njk@._V1_.jpg,2021-10-05,The Rangers: Bloodstone,['4.1'],['106 min'],"['Action, Adventure, Fantasy']","['Fueled by determination and love, Elite Ranger Drustan Lorne embarks on a journey to rescue his captured daughter and save Adrasil from the forces of darkness.']",
1427,"[' Kamran Delan', ' Ethan Black ']","[' Eric Roberts', ' Brian Krause', ' Beverley Mitchell', ' Tom Green']", 95,,['English'],['United States'],"['Digital Mind Productions (II)', 'Dreamchild Films']",https://m.media-amazon.com/images/M/MV5BZDBkMTYzMjUtMjU5ZS00YTNkLTgwZmUtMmJjMmFlMGMwYzViXkEyXkFqcGdeQXVyNTUwMTM1NDY@._V1_.jpg,2021-10-05,Uploaded,['3.2'],['92 min'],['Thriller'],['A famous and successful TV prankster finds himself the victim of the ultimate prank when he is set up for a murder he did not commit.'],
1428, Sven Unterwaldt Jr. ,"[' Milan Peschel', ' Urs Rechn', ' Otto Waalkes', ' Thomas Kautenburger']", 234,,['German'],['Germany'],"['TOBIS Film', 'Wattfilm', 'SevenPictures Film']",https://m.media-amazon.com/images/M/MV5BMmE3ZWMzOGItZDY0ZC00NDIwLTlhOWEtMzM4YzU1OGFkYTY3XkEyXkFqcGdeQXVyMDU5MDEyMA@@._V1_.jpg,2021-07-01,Catweazle,['5.5'],['96 min'],"['Comedy, Family, Fantasy']",['Catweazle is a magician from the time of the Normans who is cast into the future by magic. With the help of two children he uses magic in an attempt to return to his own time.'],
1429, Jack Peter Mundy ,"[' Chelsea Greenwood', ' Aimee Marie Higham', ' Alexander John', ' Sofia Lacey']", 473,,,,['Jagged Edge Productions'],https://m.media-amazon.com/images/M/MV5BODU3MGVlYTctZTE5OC00NmRmLTk4NTItYzEyZTNhOTQwM2JiXkEyXkFqcGdeQXVyMjM4MTU4NjQ@._V1_.jpg,2021-06-11,Dinosaur Hotel,['4.1'],['77 min'],"['Horror, Mystery, Sci-Fi']","['Sienna is desperate to win a large cash prize in a secret underground game show. However, dinosaurs begin to hunt her down for the entertainment of the rich and wealthy. Can she be the last to survive the horrific night to win the prize?']",
1430, Gary Wheeler ,"[' Jillian Murray', ' Dean Geyer', ' Leigh-Allyn Baker', ' Grant Goodeve']", 233,,['English'],['United States'],['INSP Films'],https://m.media-amazon.com/images/M/MV5BZTZkODE0N2MtNzc1Ny00Njk0LWI4MzgtYmJiOWM3OWE1NGRmXkEyXkFqcGdeQXVyOTE1MjUzNTg@._V1_.jpg,2021-11-02,Christmas in the Pines,['6.0'],['90 min'],['Romance'],"['Follows Ariel and Mark, who discover that their holiday break on an idyllic Christmas cottage may not be the only thing they love.']",['Not Rated']
1431, Veemsen Lama ,"[' Karma Shakya', ' Shilpa Maskey', ' Usha Rajak', ' Subarna Thapa']", 70,,['Nepali'],['Hong Kong'],['Prithvi Rana Productions'],https://m.media-amazon.com/images/M/MV5BZjc3YjRiNDgtODdiNi00NTg4LTk3ZDktN2ZlZmE4YjhjMjIwXkEyXkFqcGdeQXVyNTk1MjM4Mzg@._V1_.jpg,2021-11-04,The Puppet,['8.0'],['90 min'],"['Horror, Mystery, Thriller']","[""Trapped in an abandoned royal palace, a young prince must confront the unsettling secrets of his family's past, escape evil forces and battle dark magic in order to survive.""]",
1432, Karee Von ,"[' Daniel Grogan', ' Caroline Amiguet', ' Megan Elizabeth Barker', ' Andrew J. Jackson']", 52,,['English'],['United States'],,https://m.media-amazon.com/images/M/MV5BNzVlZmY0NzMtMWQ5MC00YzI4LWI1NDUtYjU5NWE0NGU3NTI5XkEyXkFqcGdeQXVyODMyNDI3ODE@._V1_.jpg,2021-08-13,Angel Mountain,['5.7'],,['Drama'],"[""Growing up in a small rural farm town in the early 1950's, sixteen- year-old Jimmy Hoffer, and his two siblings do their best to survive poverty and a crumbling family unit. With the ... See full summary »""]",
1433,,"[' Dion Baia', ' Jeff Caperton', ' Byron Cherry', ' Matthew Cutter']",,,['English'],['United States'],['John Schneider Studios'],https://m.media-amazon.com/images/M/MV5BMTM1MmY4ZDgtOTc2YS00NTA4LWFkNTgtNmNmYjIzNjlhMmVkXkEyXkFqcGdeQXVyMTg1MzcyMTg@._V1_.jpg,2021-12-30,Poker Run,,,['Comedy'],"['A fun and hysterical sequel to the 2020 film, Stand On It!.']",
1434, Tom Paton ,"[' Jean-Paul Ly', ' Andrew Lee Potts', ' James Warren', ' Adesuwa Oni']"," 3,837",,['English'],['United Kingdom'],,https://m.media-amazon.com/images/M/MV5BZjQ1NTlkZmItNmRjZC00NmZjLTgwMjEtOWQ5Mjk1NDA4NDFkXkEyXkFqcGdeQXVyMjIzNzIxNTQ@._V1_.jpg,2021-03-02,400 Bullets,['4.5'],['89 min'],['Action'],"['400 BULLETS is an edge-of-your-seat Military Action story about what it means to fight for honor instead of profit. The film packs gun battles, epic hand-to-hand fight sequences and witty dialogue into its 90 minute run time.']",['Not Rated']
1435, Ayten Amin ,"[' Bassant Ahmed', ' Basmala Elghaiesh', ' Hussein Ghanem', ' Hagar Mahmoud']", 184,,['Arabic'],"['Egypt', 'Tunisia', 'Germany']","['Vivid Reels', 'Nomadis Images', 'Film-Clinic']",https://m.media-amazon.com/images/M/MV5BYzdkZjQ5MjgtZjQ0Yi00MWE1LTkxYTAtY2RlMzNkNGM0MTQzXkEyXkFqcGdeQXVyNjEzNDIzMA@@._V1_.jpg,2021-08-27,Souad,['6.6'],['96 min'],['Drama'],"[""The film revolves around the relationship of two teenage sisters in one of Egypt's Nile Delta cities, one of them holds a secret life in the virtual world.""]",
1436, Kornél Mundruczó ,"[' Lili Monori', ' Annamária Láng', ' Goya Rego', ' Padmé Hamdemir']", 137,,"['Hungarian', 'German']","['Germany', 'Hungary']","['Match Factory Productions', 'Proton Cinema', 'ZDF/Arte']",https://m.media-amazon.com/images/M/MV5BNzNjMDAxZjUtNWMxZC00MzU1LWFhNjEtODVhNzM3ZTdjM2FkXkEyXkFqcGdeQXVyNjM3OTEwNjk@._V1_.jpg,2021-11-25,Evolution,['6.4'],['97 min'],['Drama'],"['Episodes trace three generations of a family, from a surreal memory of World War II to modern day Berlin, unable to process their past in a society still coping with the wounds of its history.']",
1437, Travis Mills ,"[' Ashleigh Lewis', ' Travis Mills', ' Creek Wilson', ' Bill Luckett']", 227,,['English'],['United States'],"['12 Westerns', 'Red Dun & Co.', 'Running Wild Films']",https://m.media-amazon.com/images/M/MV5BZmE3MzI3ZjYtOTBmYS00ZGVjLWE4YTQtYTczOTRhYjdmNDVkXkEyXkFqcGdeQXVyMjEzNjQ3ODQ@._V1_.jpg,2021-01-19,Bastard's Crossing,['3.7'],['95 min'],"['Thriller, Western']","[""One of 12 Westerns in 12 Months produced during 2020, this film tells the story of Cam Talcutt, a man who won a trading post in a card game. Now, he's stuck in the wilderness trying to run ... See full summary »""]",
1438, Robin Christian ,"[' Mateus Ward', ' Kennedy Tucker', ' Roger Cross', ' Dylan Riley Snyder']", 187,,['English'],['United States'],['Dreamscape Cinema'],https://m.media-amazon.com/images/M/MV5BY2JhMzczMWYtODBjNS00ZGYzLTgzNWEtNGQ2MWVkYmFjMDg4XkEyXkFqcGdeQXVyNjg5NzA5Mw@@._V1_.jpg,2021-07-30,C.O.R.N.,['3.7'],['102 min'],"['Horror, Thriller']","['Stranded in a rural area, 2 teens make friends with locals on Halloween but soon run into a cult called C.O.R.N. (Collective Order of Recreational Necrophilanthropists) that have chosen this area to perform human taxidermy.']",
1439, Seema Sreekumar ,"[' Paul Paulose', ' Pooja Sebastian', ' Simran']"," 4,424",,['Malayalam'],['India'],['Sreem Productions'],https://m.media-amazon.com/images/M/MV5BMjNiODQxOTYtOTI1OS00OGE5LThkNGEtYjdhMTg1MzU4OTYwXkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_.jpg,2021-12-10,Oru Canadian Diary,['9.6'],['128 min'],['Thriller'],"['Sara migrates to Canada and keeps in touch with Surya. However, a few days later, the calls stop. Once Surya reaches Toronto, he begins his search to locate Sara.']",
1440, Brian Brough ,"[' Sashleigha Hightower', ' David McConnell', ' Scarlett Hazen', ' Liz Christensen']", 21,,['English'],['United States'],['Silver Peak Productions'],https://m.media-amazon.com/images/M/MV5BMDdkOGEyYTQtYWMyMi00M2ZkLWFkYjQtNmE2MzhlMTAzOTE2XkEyXkFqcGdeQXVyMjUwOTMwNw@@._V1_.jpg,2021-11-23,Love in Aruba,['7.1'],,['Romance'],['Add a Plot'],
1441, Preston A. Whitmore II ,"[' Jasmine Carmichael', ' Michael Beach', ' Sierra Collins', ' London Brown']", 37,,['English'],['United States'],"['Imani Media Group', 'Imani Media Group', 'Preston Picture Company']",https://m.media-amazon.com/images/M/MV5BNzBmMDVhMDUtYTMwNS00Yzk2LWJkOTMtMTE5ZTM3MWQzMTVhXkEyXkFqcGdeQXVyNjYyODEwMDU@._V1_.jpg,2021-06-22,Real Talk,['5.0'],['98 min'],['Drama'],"[""While humorous, sarcastic and sometimes harsh, Dominique the Dame brings to the forefront America's contemporary views on race, sex, drugs, religion and technology through her listeners who... See full summary »""]",
1442, Joe Raffa ,"[' Greg Finley', ' Dylan Silver', ' Judson Mills', ' Joss Glennie-Smith']", 110,,['English'],['United States'],"['APS Films', 'APS Films']",https://m.media-amazon.com/images/M/MV5BNzk2NmNjYzctNmE2Yy00MzA5LWFiNTktNWIwMGZhNjI3ODUxXkEyXkFqcGdeQXVyMjUxMjY1NDk@._V1_.jpg,2021-07-13,Downeast,['6.1'],['88 min'],['Drama'],"['A story of love, loss, and redemption - Downeast dives into the often ignored seedy underbelly of Maine. The film combines crime, revenge, and the hope for a new life.']",
1443, Eric C. Nash ,"[' Mitchell Hope', ' Allira Jaques', ' John Jarratt', ' Chris Haywood']", 46,,['English'],['Australia'],"['Glasshouse Productions', 'SJGannonfilms']",https://m.media-amazon.com/images/M/MV5BNTEwN2ZlNzYtYTQwYi00ZGU1LTk1OTctYjI5YWQ0YmYwZTcyXkEyXkFqcGdeQXVyMTY5MTg0NzU@._V1_.jpg,2021-10-21,Love You Like That,['7.5'],['104 min'],"['Comedy, Romance']",['Life in a small country town is forever changed when a stranger appears.'],
1444, Stephanie Zari ,"[' Tom Cullen', ' Sarah Roy', ' Jade Anouka', ' Anna Wilson-Jones']"," 1,968",,['English'],['United Kingdom'],['19th Street Productions'],https://m.media-amazon.com/images/M/MV5BOWY3ZTcxNjgtN2YxNC00ZWExLWE4ODUtYjZkNTA5NjA2ZWVkXkEyXkFqcGdeQXVyMTk3MzY5OTM@._V1_.jpg,2021-06-01,Zebra Girl,['6.4'],['79 min'],"['Mystery, Thriller']","[""Catherine's seemingly perfect rural life is turned upside down after she discovers her husband is hiding a dark secret that leads her to the unthinkable. Murder.""]",
1445, Hannes Holm ,"[' Jonas Karlsson', ' Simon Larson', ' Simon Larsson', ' Jennie Silfverhjelm']", 228,,['Swedish'],['Sweden'],"['Film i Väst', 'SF Studios Production AB', 'Svenska Filminstitutet (SFI)']",https://m.media-amazon.com/images/M/MV5BMGJkN2RjYmQtNjM0Yi00Y2VlLTgyYzktNWFjMDRmM2VkMjhlXkEyXkFqcGdeQXVyODQxMzA5MjM@._V1_.jpg,2021-11-12,Sagan om Karl-Bertil Jonssons julafton,['6.9'],['104 min'],"['Comedy, Drama']",['A tale of a boy from a wealthy family who during his work at the post office steals Christmas gifts from the wealthy to give to the poor people of Stockholm.'],
1446,"[' Zack Matthews', ' Fabio W. Silva ']","[' Oleg Prudius', ' Shannon Murray', ' Gabriela Wong', ' Olivier Richters']", 210,,['English'],['United States'],"['Cinemo', 'Full Service Films', 'Moscow Mauler']",https://m.media-amazon.com/images/M/MV5BZjgwNWUyZmMtZGYyNi00NGIxLThiNDktYjUwYzNkOTAyNzQ2XkEyXkFqcGdeQXVyODE2NzM0ODI@._V1_.jpg,2021-11-05,Miami Heat,['3.0'],['87 min'],"['Action, Crime, Drama']","['A retired Spetsnaz agent relies on his old skills to save his beloved daughter, who has been kidnapped while working in South Beach.']",
1447, Alexander Sharp ,"[' Blake Stadel', ' Natalie Sharp', ' Behtash Fazlali']", 221,,['English'],['Canada'],"['Sharpy', 'Wired Shut Production']",https://m.media-amazon.com/images/M/MV5BNDBhYjk3ZmUtODM0ZS00MTkyLThiODktNjg1MjQwZTg2YmIyXkEyXkFqcGdeQXVyNTA4NDgzMw@@._V1_.jpg,2021-11-30,Wired Shut,['3.5'],['95 min'],"['Horror, Thriller']","['A disillusioned famous novelist, unable to talk while recovering in his remote mountain home from major reconstructive jaw surgery, is exposed to a life-threatening secret when he receives an unexpected visit from his estranged daughter.']",
1448,,,,,['English'],['United States'],['Point Dynamic'],https://m.media-amazon.com/images/M/MV5BMGY2MTBhZTQtNzdiMS00ODAyLWFiZjgtYmNkNGZhNGNkZDJhXkEyXkFqcGdeQXVyMjc1NDU5MjU@._V1_.jpg,2021-01-01,Spider-Man 4 Fan Film,,['70 min'],"['Animation, Action']",['Spider-Man 4: Sam Raimi Approved'],
1449, Sharif Arafah ,"[' Mohamed Henedi', ' Amr Abdulgalil', ' Arfah Abdulrasool', ' Amir Adham']", 519,,['Arabic'],['Egypt'],['El Massah Video Film'],https://m.media-amazon.com/images/M/MV5BYTczMGQ1YTEtZTAxMy00MWY4LTgzODItZTgwMGQ2ZDAzOTZmXkEyXkFqcGdeQXVyNzI5NjYzODI@._V1_.jpg,2021-08-12,The Humans and the Mongoose,['5.9'],['120 min'],"['Comedy, Fantasy, Horror']","[""The story follows a poor government employee who lands in a lot of trouble because of his father's profession, while he falls for a girl who tries to help him solve his problems.""]",
1450, Francis Leclerc ,"[' Luca Asselin', ' Marie-Ève Beauregard', ' Céline Bonnier', ' Valérie-Marie Chadelaud']", 72,,['French'],['Canada'],['Attraction Images'],https://m.media-amazon.com/images/M/MV5BYjYwZDg3YmUtMzVlYS00Nzg1LTkzMDUtZTc4YjdjYjE5NDkyXkEyXkFqcGdeQXVyMjk4MTEyMw@@._V1_.jpg,2021-11-19,L'Arracheuse de temps,['6.8'],['105 min'],['Fantasy'],"[""In 1988, in Saint-Élie-de-Caxton, an eleven years old boy is worried for his grandmother's life. Worn out by illness, the old storyteller tries to convince her grandson that the Death no ... See full summary »""]",
1451, Thirumala Kishore ,"[' Ram Pothineni', ' Nivetha Pethuraj', ' Malvika Sharma', ' Amritha Aiyer']"," 2,105",,['Telugu'],['India'],['Sri Sravanthi Movies'],https://m.media-amazon.com/images/M/MV5BNmZhOGE2OTMtYTViOS00NzBjLThjYmMtZWEwYTdjZTE5NTJkXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg,2021-01-14,Red,['6.6'],['146 min'],"['Action, Crime, Drama']","['One pictorial evidence, two lookalike suspects and just 48 hours are all the cops have to solve a murder case.']",['TV-14']
1452, Macarena Astorga ,"[' Loles León', ' Carlos Alcántara', ' María Barranco', ' Leo Harlem']", 103,,['Spanish'],['Spain'],"['Bowfinger International Pictures', 'El refugio LP A.I.E.', 'Esto también pasará']",https://m.media-amazon.com/images/M/MV5BYWQxNjQ2NWUtNzQ1My00YmI4LWIyMjktNDYwYTUzMzI5ZjZkXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_.jpg,2021-11-26,El refugio,['2.6'],['91 min'],['Comedy'],['Add a Plot'],
1453, Alex van Warmerdam ,"[' Tom Dewispelaere', ' Frieda Barnhard', ' Hans Kesting', ' Anniek Pheifer']", 417,,"['German', 'English', 'Dutch']","['Netherlands', 'Belgium']","['Graniet Film BV', 'Czar Film & TV', 'BNN-VARA']",https://m.media-amazon.com/images/M/MV5BZjc2MjFmOWQtZDRjYS00YjdjLWJiMmYtYTIyYjNiNDRlNDY1XkEyXkFqcGdeQXVyMDM4MDEzMQ@@._V1_.jpg,2021-09-30,Nr. 10,['7.1'],['100 min'],['Thriller'],"['Günter, found in a German forest as a four-year old, grows up in a foster family. Four decades later, he leads a normal life: he earns a living as a stage actor, spends time with his ... See full summary »']",
1454, Legend ,"[' Glenn Plummer', ' Felicia Pearson', ' Fredro Starr', ' Jamal Woolard']", 13,,['English'],['United States'],['Iybe Media'],https://m.media-amazon.com/images/M/MV5BNjljNjVmYmMtMGMwYy00Yzk4LTgwMDgtNDczM2Y0YmRiOGI2XkEyXkFqcGdeQXVyMTE1ODQ3NjYy._V1_.jpg,2021-11-01,Asbury Park,['7.5'],['117 min'],['Drama'],"[""We're in the midst of a revolution. With protests and uprisings taking place all over the world in the name of justice, we find ourselves in a time where the world is finally ready to hear ... See full summary »""]",
1455, Thomas Kruithof ,"[' Isabelle Huppert', ' Reda Kateb', ' Naidra Ayadi', ' Jean-Paul Bordes']", 123,,['French'],['France'],"['2425 Films', 'Wild Bunch', 'France 2 Cinéma']",https://m.media-amazon.com/images/M/MV5BNWVhODY1ZjMtM2FhZi00NzEwLTg1ODEtZGMxYzhhNDE3ZmQ3XkEyXkFqcGdeQXVyMTMwNjQxNDU1._V1_.jpg,2022-01-26,Promises,['5.7'],['98 min'],['Drama'],"[""A story that revolves around Clemence who's in the final stage of her political career as a Mayor of Parisian suburbs.""]",
1456, Fabrice du Welz ,"[' Benoît Poelvoorde', ' Mélanie Doutey', ' Alba Gaïa Bellugi', ' Janaina Halloy']", 135,,['French'],"['Belgium', 'France']","['Frakas Productions', 'The Jokers Films']",,2022-04-06,Inexorable,['6.3'],['98 min'],['Thriller'],['The lives of a wealthy publisher and her novelist husband are changed by the arrival of a mysterious young woman at their country mansion.'],
1457, Tim Searfoss ,"[' Ignacyo Matynia', ' Dean Cain', ' Krystian Leonard', ' Collins Randolph']", 110,,['English'],['United States'],"['JC Films', 'Searfoss Productions', 'Tim Searfoss']",https://m.media-amazon.com/images/M/MV5BYzcyMWRmMmYtZTE3Mi00OTQ0LWJmNDktOWFmM2YzZjg4MzM1XkEyXkFqcGdeQXVyODE5MjE2ODM@._V1_.jpg,2021-02-19,Break Every Chain,['5.5'],,"['Biography, Drama']","[""A police officer's battle with alcoholism, depression and devastating loss; and the true story of how God changed his life forever.""]",
1458, Gururaj Kulkarni Nadagoud ,"[' Urvashi H.V.', ' Manasa Joshi', ' Seetha Kote', ' Sampath Kumar']", 90,,['Kannada'],['India'],['G9 Communication Media And Entertainments'],https://m.media-amazon.com/images/M/MV5BZTFmNmI0MDUtNDA2MS00ZDY0LTk1NTEtNmYwNTI4NTMzZjA4XkEyXkFqcGdeQXVyNjgwMzc2OTA@._V1_.jpg,2021-03-01,Amruth Apartments,['8.8'],['133 min'],['Drama'],"['After a year-long marriage, a couple approaches a lawyer to file for divorce but encounter a life altering shock on the same day. Together, they must work out what they need more - a divorce or getting out of a police investigation?']",
1459, Ajay B. Gupta ,"[' Anand Tiwari', ' Kunal Pant', ' Maanvi Gagroo', ' Saharsh Kumar Shukla']", 24,,['Hindi'],['India'],['Zero degree films'],https://m.media-amazon.com/images/M/MV5BNjRhZmE1MmEtNGI1MC00Mjg4LWJmMTAtYmMwNzAwNTdhZDFhXkEyXkFqcGdeQXVyMjg2NDQ0MTY@._V1_.jpg,2021-12-31,Pati Patni and Joe,['6.7'],['106 min'],"['Comedy, Drama']","['A black comedy that tests the facade of modernity that a man wears, when he stumbles upon a secret manuscript - a work in progress erotica being written by his domesticated wife, which may be more autobiographical than he initially thinks.']",
1460, Sergio Castellitto ,"[' Sergio Castellitto', ' Bérénice Bejo', ' Matilda De Angelis', ' Clementino']", 101,,"['Italian', 'French']","['Italy', 'France', 'United States']","['Rodeo Drive', 'Rai Cinema', 'Mon Voisin Productions']",https://m.media-amazon.com/images/M/MV5BYzAwYjFkMGMtMTA3Yi00NTNmLTg0NGUtM2E3ZDQxMmJmNzQ2XkEyXkFqcGdeQXVyNDI4NTUxMjQ@._V1_.jpg,2021-10-07,A Bookshop in Paris,['5.7'],['89 min'],"['Comedy, Drama, Romance']",['A librarian lives with his disabled daughter in his Parisian bookstore. Various characters will change their lives.'],
1461, Chimbudeven ,"[' Sundeep Kishan', ' Harish Kalyan', ' Shanthnu Bhagyaraj', ' Premgi Amaren']"," 1,144",,['Tamil'],['India'],"['Black Ticket Company', 'Trident Arts']",https://m.media-amazon.com/images/M/MV5BZDRlZTM1NzAtM2JkNi00YzU0LWEzMTEtOWZkM2EzZDZlMTE4XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,2021-08-27,Kasada Thapara,['7.4'],['137 min'],['Drama'],"['The lives of a few individuals get impacted, both in good and bad ways, by the actions of others who are hardly connected to them.']",
1462,"[' Bart Freundlich', ' Sebastian Gutierrez', ' Sanaa Lathan', ' Julianne Nicholson', ' Sam Nivola', ' Rosie Perez', ' Maya Singer', ' Morgan Spector ']","[' Talia Balsam', ' Don Cheadle', ' Rebecca Hall', ' Sanaa Lathan']", 12,,['English'],['United States'],['Maven Screen Media'],,2021-06-13,With/in: Volume 1,['6.9'],['73 min'],['Drama'],['An anthology film set during the COVID-19 pandemic.'],
1463, Conor Boru ,"[' Yasen Atour', ' Vår Haugholt', ' Ronja Haugholt', ' Lee Nicholas Harris']", 70,,['English'],['United Kingdom'],,https://m.media-amazon.com/images/M/MV5BYzU2OGExMzQtNTJkYS00M2UxLWJiYzMtM2MwMjMwYmE3OGZkXkEyXkFqcGdeQXVyNjE2MTU5MzU@._V1_.jpg,2021-08-28,When the Screaming Starts,['6.6'],['88 min'],"['Comedy, Horror']","['When Norman Graysmith is invited into the home of an aspiring serial killer, Aidan Mendle, he believes he has the subject for the documentary that will make his career.']",
